5,0,0,21
4,0,0,21
7,0,0,21
5,0,0,21
2,0,0,21
2,0,0,21
5,0,0,21
8,1000,1,18
2,0,0,21
4,0,0,21
7,0,0,21
3,0,0,21
5,0,0,21
3,0,0,21
4,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
4,0,0,21
4,0,0,21
5,0,0,21
3,0,0,21
3,0,0,21
5,0,0,21
1,0,0,21
2,0,0,21
4,0,0,21
6,0,0,21
3,0,0,21
7,0,0,21
5,0,0,21
3,0,0,21
5,0,0,21
5,0,0,21
7,0,0,21
5,0,0,21
3,0,0,21
2,0,0,21
5,0,0,21
6,0,0,21
7,0,0,21
5,0,0,21
5,0,0,21
4,0,0,21
7,0,0,21
3,0,0,21
3,0,0,21
5,0,0,21
7,0,0,21
2,0,0,21
3,0,0,21
3,0,0,21
5,0,0,21
3,0,0,21
5,0,0,21
6,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
5,0,0,21
6,0,0,21
6,0,0,21
3,0,0,21
7,0,0,21
2,0,0,21
2,0,0,21
4,0,0,21
4,0,0,21
4,0,0,21
5,0,0,21
6,0,0,21
8,1000,1,20
5,0,0,21
4,0,0,21
5,0,0,21
5,0,0,21
4,0,0,21
3,0,0,21
6,0,0,21
5,0,0,21
3,0,0,21
4,0,0,21
3,0,0,21
6,0,0,21
6,0,0,21
2,0,0,21
4,0,0,21
2,0,0,21
5,0,0,21
4,0,0,21
3,0,0,21
6,0,0,21
3,0,0,21
4,0,0,21
2,0,0,21
1,0,0,21
7,0,0,21
6,0,0,21
3,0,0,21
8,1000,1,8
3,0,0,21
3,0,0,21
5,0,0,21
4,0,0,21
1,0,0,21
5,0,0,21
4,0,0,21
8,1000,1,20
5,0,0,21
4,0,0,21
4,0,0,21
6,0,0,21
4,0,0,21
6,0,0,21
1,0,0,21
2,0,0,21
6,0,0,21
2,0,0,21
7,0,0,21
8,1000,1,18
5,0,0,21
7,0,0,21
6,0,0,21
6,0,0,21
2,0,0,21
4,0,0,21
3,0,0,21
2,0,0,21
6,0,0,21
4,0,0,21
6,0,0,21
3,0,0,21
8,1000,1,10
3,0,0,21
3,0,0,21
4,0,0,21
4,0,0,21
3,0,0,21
6,0,0,21
6,0,0,21
7,0,0,21
5,0,0,21
5,0,0,21
3,0,0,21
6,0,0,21
4,0,0,21
5,0,0,21
6,0,0,21
4,0,0,21
2,0,0,21
2,0,0,21
4,0,0,21
4,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
6,0,0,21
7,0,0,21
4,0,0,21
2,0,0,21
4,0,0,21
2,0,0,21
5,0,0,21
5,0,0,21
4,0,0,21
3,0,0,21
8,1000,1,17
8,1000,1,15
3,0,0,21
7,0,0,21
4,0,0,21
3,0,0,21
4,0,0,21
6,0,0,21
2,0,0,21
3,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
5,0,0,21
4,0,0,21
6,0,0,21
3,0,0,21
6,0,0,21
6,0,0,21
5,0,0,21
4,0,0,21
4,0,0,21
7,0,0,21
6,0,0,21
8,1000,1,21
3,0,0,21
3,0,0,21
6,0,0,21
5,0,0,21
5,0,0,21
6,0,0,21
8,1000,1,8
3,0,0,21
5,0,0,21
7,0,0,21
5,0,0,21
3,0,0,21
8,1000,1,18
4,0,0,21
3,0,0,21
2,0,0,21
3,0,0,21
6,0,0,21
5,0,0,21
5,0,0,21
3,0,0,21
4,0,0,21
6,0,0,21
5,0,0,21
6,0,0,21
7,0,0,21
1,0,0,21
5,0,0,21
4,0,0,21
5,0,0,21
6,0,0,21
2,0,0,21
7,0,0,21
7,0,0,21
8,1000,1,21
8,1000,1,11
6,0,0,21
3,0,0,21
2,0,0,21
3,0,0,21
5,0,0,21
6,0,0,21
4,0,0,21
3,0,0,21
4,0,0,21
4,0,0,21
4,0,0,21
6,0,0,21
1,0,0,21
6,0,0,21
7,0,0,21
4,0,0,21
4,0,0,21
6,0,0,21
8,1000,1,20
2,0,0,21
2,0,0,21
